to_station_name,count
Halsted St & 56th St,10
Stewart Ave & 63rd St (*),10
Central Ave & Harrison St,9
Phillips Ave & 79th St,9
Damen Ave & 51st St,9
Throop St & 52nd St,9
Michigan Ave & 71st St,9
Stony Island Ave & 82nd St,8
Woodlawn Ave & 75th St,8
Ashland Ave & 63rd St,8
Vincennes Ave & 75th St,7
Laramie Ave & Gladys Ave,7
Bennett Ave & 79th St,7
Cottage Grove Ave & 78th St,7
State St & 76th St,6
Halsted St & 59th St,6
Kenton Ave & Madison St,5
Ellis Ave & 83rd St,5
Perry Ave & 69th St,5
Kostner Ave & Lake St,5
Stony Island Ave & South Chicago Ave,5
May St & 69th St,5
Shields Ave & 43rd St,5
Cicero Ave & Flournoy St,5
Eggleston Ave & 69th St (*),4
Latrobe Ave & Chicago Ave,4
Marshfield Ave & 59th St,4
Halsted St & 51st St,3
Calumet Ave & 71st St,3
Carpenter St & 63rd St,3
Wabash Ave & 83rd St,3
Elizabeth St & 59th St,2
South Chicago Ave & 83rd St,2
Seeley Ave & Garfield Blvd,2
South Chicago Ave & Elliot Ave,1
